id;nom;decision;ecrite_le_26_09;qid;wikidata_libelle;naissance;mort;pays;langue;signaux;candidats_et_motifs
10500;Everardo Dias;acceptée;oui;Q10278476;Everardo Dias;1883;1966;BR;pt;biblio+metier;Q10278476 {biblio+metier}
10502;Laureano Riera Díaz;introuvable;;;;;;;;;
10503;CESIT Dieese;introuvable;;;;;;;;;
10504;Gerard Dilger;introuvable;;;;;;;;;
10505;Gilberto Dimenstein;acceptée;oui;Q1979166;Gilberto Dimenstein;1956;2020;BR;pt;biblio+metier;Q1979166 {biblio+metier}
10506;Elias Diniz;introuvable;;;;;;;;;
10508;Dilar Dirik;introuvable;;;;;;;;;
10509;Willful Disobedience;introuvable;;;;;;;;;
10510;Emmanuel Malolo Dissakè;ambiguë;;;;;;;;;Q124695819 {metier} | Q139067597 {biblio}
10511;Reaxiones Adversas Distro;introuvable;;;;;;;;;
10513;E. L. Doctorow;acceptée;oui;Q335232;E. L. Doctorow;1931;2015;US;en;biblio+metier;Q335232 {biblio+metier}
10514;Guillaume Doizy;contradiction;;;;;;;;;Q3119811 [naissance 1970 ≠ 1968] {biblio+metier}
10515;J-A Doléris;introuvable;;;;;;;;;
10516;Mário Domingues;acceptée;oui;Q28890066;Mário Domingues;1899;1977;PT;;biblio+metier;Q28890066 {biblio+metier}
10517;Maurice Dommanget;acceptée;oui;Q3300694;Maurice Dommanget;1888;1976;FR;;biblio+metier;Q3300694 {biblio+metier}
10518;Igor Goicovic Donoso;ambiguë;;;;;;;;;Q85871260 {metier} | Q112558836 {biblio+metier}
10519;A. de Sampaio Doria;introuvable;;;;;;;;;
10520;Elsa Dorlin;acceptée;oui;Q3051714;Elsa Dorlin;1974;;FR;;biblio+metier;Q3051714 {biblio+metier}
10521;F. M. Dostoiévski;introuvable;;;;;;;;;
10522;Fédor Dostoievski;acceptée;oui;Q991;Fiodor Dostoïevski;1821;1881;RU;ru;biblio+metier;Q991 {biblio+metier}
10523;Fiódor M. Dostoievski;introuvable;;;;;;;;;
10524;Wolfgang Dressen;acceptée;oui;Q1369916;Wolfgang Dreßen;1942;;DE;;biblio+metier;Q1369916 {biblio+metier}
10525;Ozeas Duarte;introuvable;;;;;;;;;
10526;Regina Horta Duarte;ambiguë;;;;;;;;;Q123735486 {metier} | Q138979687 {biblio+metier}
10527;Henri Dubief;ambiguë;;;;;;;;;Q16056005 {biblio} | Q96575696 {biblio+metier}
10528;Pierre Duchesne;ambiguë;;;;;;;;;Q1368389 {biblio} | Q3384833 [né 1964, publié dès 1971] {biblio+metier} | Q3384830 | Q102252699 | Q137356117
10529;Jacques Duclos;acceptée;oui;Q377790;Jacques Duclos;1896;1975;FR;fr;biblio+metier;Q377790 {biblio+metier} | Q124937319 [naissance 1872 ≠ 1896, mort 1935 ≠ 1975] | Q139606784 [naissance 1950 ≠ 1896]
10530;John W. F. Dulles;acceptée;oui;Q10307903;John W.F. Dulles;1913;2008;US;;biblio+metier;Q10307903 {biblio+metier}
10531;René Dumesnil;acceptée;oui;Q3426141;René Dumesnil;1879;1967;FR;fr;biblio+metier;Q3426141 {biblio+metier} | Q23982826 [naissance 1829 ≠ 1879, mort 1893 ≠ 1967] {biblio+metier}
10532;Lionel Dupuy;acceptée;oui;Q3241864;Lionel Dupuy;1974;;FR;fr;biblio+metier;Q3241864 {biblio+metier} | Q57986400 {chercheur}
10534;Émile Durkheim;acceptée;oui;Q15948;Émile Durkheim;1858;1917;FR;fr;biblio+metier;Q15948 {biblio+metier}
10535;Eliana de Freitas Dutra;introuvable;;;;;;;;;
10536;Chris Ealham;contradiction;;;;;;;;;Q18762204 [naissance 1965 ≠ 1970] {biblio+metier}
10538;Ilya Ehrenburg;acceptée;oui;Q348497;Ilya Ehrenbourg;1891;1967;UA;ru;biblio+metier;Q348497 {biblio+metier}
10539;Howard J. Ehrlich;acceptée;oui;Q5919552;Howard Ehrlich;1932;2015;US;en;biblio+metier+anarchisme;Q5919552 {biblio+metier+anarchisme}
10540;Uri Eisenzweig;contradiction;;;;;;;;;Q6561833 [naissance 1946 ≠ 1953] {biblio+metier}
10541;Juan Puis Elias;introuvable;;;;;;;;;
10542;Paulo Eltzbacher;introuvable;;;;;;;;;
10543;Fábio Emecê;introuvable;;;;;;;;;
10544;José Antonio Emmanuel;acceptée;oui;Q133441105;José Antonio Emmanuel;;;;;biblio+metier;Q133441105 {biblio+metier}
10545;Frederich Engel;introuvable;;;;;;;;;
10546;Critical Art Ensemble;introuvable;;;;;;;;;
10547;Vanina Escales;introuvable;;;;;;;;;
10548;Osvaldo Arias Escobedo;introuvable;;;;;;;;;
10549;Cruz Escribano;introuvable;;;;;;;;;
10550;Osvaldo Escribano;introuvable;;;;;;;;;
10551;Cristina Escrivá;introuvable;;;;;;;;;
10553;Jorge Etchenique;introuvable;;;;;;;;;
10554;Catriel Etcheverri;introuvable;;;;;;;;;
10555;Richard F. Fleck;introuvable;;;;;;;;;
10556;Clifton Fadiman;acceptée;oui;Q1101372;Clifton Fadiman;1904;1999;US;;biblio+metier;Q1101372 {biblio+metier}
10557;Eduardo Fagnani;acceptée;oui;Q90906226;Eduardo Fagnani;;;;;biblio+metier;Q90906226 {biblio+metier}
10558;Candace Falk;contradiction;;;;;;;;;Q98800167 [naissance 1947 ≠ 1945] {biblio+metier}
10559;Frantz Fanon;acceptée;oui;Q193670;Frantz Fanon;1925;1961;;fr;biblio+metier;Q193670 {biblio+metier}
10560;Sérgio Fantini;non corroborée;;;;;;;;;Q100411135 {chercheur}
10561;Emil Farhat;acceptée;oui;Q37805746;Emil Farhat;1914;2000;BR;pt;biblio+metier;Q37805746 {biblio+metier}
10562;Álvaro Alves de Faria;acceptée;oui;Q10395743;Álvaro Alves de Faria;1942;;BR;pt;biblio+metier;Q10395743 {biblio+metier}
10563;Wilson de Faria;introuvable;;;;;;;;;
10564;Elie Faure;acceptée;oui;Q274646;Élie Faure;1873;1937;FR;fr;biblio+metier;Q274646 {biblio+metier} | Q74229214 [mort 1953 ≠ 1937] {biblio}
10566;Francis McCollum Feeley;acceptée;oui;Q55624535;Francis McCollum Feeley;1946;;US;en;biblio+metier;Q55624535 {biblio+metier}
10567;José Pablo Feinmann;acceptée;oui;Q1418232;José Pablo Feinmann;1943;2021;AR;es;biblio+metier;Q1418232 {biblio+metier}
10568;Isabelle Felici;non corroborée;;;;;;;;;Q110914092
10569;Almir Valente Felitte;introuvable;;;;;;;;;
10570;Rubem César Fernandes;acceptée;oui;Q10365065;Rubem César Fernandes;1943;;BR;pt;biblio+metier;Q10365065 {biblio+metier}
10571;Frank Fernández;ambiguë;;;;;;;;;Q5868504 [naissance 1992 ≠ 1944, né 1992, publié dès 1994] | Q5486598 {biblio+metier+anarchisme} | Q5486594 {biblio} | Q5486592 | Q125221105 {biblio} | Q130280750
10572;Gonzalo D. Fernandez;introuvable;;;;;;;;;
10573;Germán Ferrari;acceptée;oui;Q139102646;Germán Ferrari;1969;;;;biblio+metier;Q139102646 {biblio+metier}
10574;Celso Ferraris;introuvable;;;;;;;;;
10575;Pinto Ferraz;introuvable;;;;;;;;;
10576;Acácio Ferreira;introuvable;;;;;;;;;
10577;Fernanda Durão Ferreira;introuvable;;;;;;;;;
10578;Maria Nazareth Ferreira;à relire (un seul signal);;Q101242666;Maria Nazareth Ferreira;;;BR;;metier;Q101242666 {metier}
10580;Silvestre Pinheiro Ferreira;acceptée;oui;Q10371546;Silvestre Pinheiro Ferreira;1769;1846;PT;pt;biblio+metier;Q10371546 {biblio+metier}
10581;Francisco Ferrer Y Guardia;acceptée;oui;Q354202;Francisco Ferrer Guardia;1859;1909;ES;;biblio+metier+anarchisme;Q354202 {biblio+metier+anarchisme}
10582;Alejandro Tiana Ferrer;acceptée;oui;Q51881965;Alejandro Tiana Ferrer;1951;;ES;es;biblio+metier;Q51881965 {biblio+metier}
10583;Julio Ferrer;ambiguë;;;;;;;;;Q21502957 {biblio} | Q39044161 | Q133749507 {biblio+metier}
10584;Rai Ferrer;acceptée;oui;Q51883507;Rai Ferrer;1942;2017;ES;es;biblio+metier;Q51883507 {biblio+metier}
10585;Sol Ferrer;à relire (un seul signal);;Q136123265;Sol Ferrer;;;;;biblio;Q136123265 {biblio}
10586;Norberto Osvaldo Ferreras;introuvable;;;;;;;;;
10587;Retlav Avles Ferret;introuvable;;;;;;;;;
10588;Enrique Ferri;introuvable;;;;;;;;;
10590;Piero Ferrua;introuvable;;;;;;;;;
10591;Roseli Figaro;à relire (un seul signal);;Q101236203;Roseli Figaro;;;BR;;metier;Q101236203 {metier}
10592;Vera Figner;acceptée;oui;Q266783;Véra Figner;1852;1942;RU;;biblio+metier;Q266783 {biblio+metier}
10593;Alípio de Sousa Filho;acceptée;oui;Q9609299;Alípio de Sousa Filho;1961;;BR;pt;biblio+metier;Q9609299 {biblio+metier}
10594;Fábio Luz Filho;introuvable;;;;;;;;;
10595;Olavo Cabral Ramos Filho;introuvable;;;;;;;;;
10596;Federico Finchelstein;acceptée;oui;Q24204451;Federico Finchelstein;1975;;AR;es;biblio+metier;Q24204451 {biblio+metier}
10597;Paolo Finzi;contradiction;;;;;;;;;Q124694602 [naissance 1951 ≠ 1957] {biblio+metier+anarchisme}
10598;Marie Fleming;ambiguë;;;;;;;;;Q110737111 {biblio+metier} | Q97924794 | Q117117613 {biblio+metier}
10599;Pere Foix;introuvable;;;;;;;;;
10600;Giulio Folena;introuvable;;;;;;;;;
10601;Carlos Fonseca;ambiguë;;;;;;;;;Q13978574 [naissance 1987 ≠ 1959] | Q5042084 [naissance 1955 ≠ 1959] | Q50981159 {biblio+chercheur} | Q370691 [naissance 1936 ≠ 1959] {biblio+metier} | Q50891202 {biblio+chercheur} | Q61881238 [naissance 1970 ≠ 1959] | Q38175471 [naissance 1987 ≠ 1959] {biblio+metier} | Q105906744 [naissance 1981 ≠ 1959]
10602;Eilton Fonseca;introuvable;;;;;;;;;
10603;Tomaz da Fonseca;introuvable;;;;;;;;;
10604;Alfonso Font;acceptée;oui;Q763129;Alfonso Font;1946;;ES;;biblio+metier;Q763129 {biblio+metier}
10605;Hugo Fontana;acceptée;oui;Q5904481;Hugo Fontana;1955;2022;UY;es;biblio+metier;Q5904481 {biblio+metier} | Q47036877
10606;Isleide Arruda Fontenelle;introuvable;;;;;;;;;
10607;Epitéto Fontes;introuvable;;;;;;;;;
10608;João Neves da Fontoura;acceptée;oui;Q636323;João Neves da Fontoura;1887;1963;BR;pt;biblio+metier;Q636323 {biblio+metier}
10609;Henry Ford;acceptée;oui;Q8768;Henry Ford;1863;1947;US;en;biblio+metier;Q8768 {biblio+metier} | Q516858 [naissance 1917 ≠ 1863, mort 1987 ≠ 1947] {biblio} | Q5721393 [naissance 1828 ≠ 1863, mort 1894 ≠ 1947] {biblio+metier} | Q5724147 [naissance 1860 ≠ 1863, mort 1941 ≠ 1947] {biblio+metier} | Q5721389 [naissance 1971 ≠ 1863, né 1971, publié dès 1954] | Q19865736 [naissance 1931 ≠ 1863, mort 2021 ≠ 1947] | Q5721398 [naissance 1619 ≠ 1863, mort 1684 ≠ 1947] {biblio} | Q5721396 [naissance 1898 ≠ 1863, mort 1919 ≠ 1947] | Q109853854 [naissance 1845 ≠ 1863, mort 1910 ≠ 1947] {biblio}
10610;James D. Forman;acceptée;oui;Q47112629;James D. Forman;1932;2009;US;en;biblio+metier;Q47112629 {biblio+metier} | Q125419994
10611;Alex Foti;introuvable;;;;;;;;;
10612;Walter Francini;acceptée;oui;Q12356699;Walter Francini;1926;1996;BR;;biblio+metier;Q12356699 {biblio+metier}
10613;José Francisco;non corroborée;;;;;;;;;Q64846301
10614;F. de A. Carvalho Franco;introuvable;;;;;;;;;
10615;Maria Laura P. B. Franco;introuvable;;;;;;;;;
10617;Joseph Frank;acceptée;oui;Q20742162;Joseph Frank;1918;2013;US;;biblio+metier;Q4492358 [naissance 1771 ≠ 1918, mort 1842 ≠ 2013] {biblio+metier} | Q20742162 {biblio+metier} | Q99286340 [naissance 1916 ≠ 1918, mort 1993 ≠ 2013] {biblio+metier} | Q6283209 [naissance 1857 ≠ 1918, mort 1940 ≠ 2013] | Q136750948 [mort 1898 ≠ 2013] | Q104544329 [mort 1945 ≠ 2013]
10618;Felix Frankfurter;acceptée;oui;Q1403472;Felix Frankfurter;1882;1965;US;en;biblio+metier;Q1403472 {biblio+metier}
10619;Jo Freeman;acceptée;oui;Q2403438;Jo Freeman;1945;;US;en;biblio+metier;Q2403438 {biblio+metier}
10620;João Freire;ambiguë;;;;;;;;;Q10311528 {biblio} | Q126193144 [naissance 1582 ≠ 1942] {biblio} | Q40226968 {chercheur} | Q17280340 {biblio+metier}
10621;Susanita Freire;introuvable;;;;;;;;;
10622;Allan de Freitas;non corroborée;;;;;;;;;Q140198825
10623;Décio Freitas;acceptée;oui;Q10269281;Décio Freitas;1922;2004;BR;pt;biblio+metier;Q10269281 {biblio+metier}
10624;Jeanne Marie Machado de Freitas;introuvable;;;;;;;;;
10625;Yves Fremion;acceptée;oui;Q3573652;Yves Frémion;1947;;FR;;biblio+metier;Q3573652 {biblio+metier}
10626;Sigmund Freud;acceptée;oui;Q9215;Sigmund Freud;1856;1939;CZ;de;biblio+metier;Q9215 {biblio+metier}
10627;Ricardo Fuego;introuvable;;;;;;;;;
10628;Rene Furth;contradiction;;;;;;;;;Q15406915 [naissance 1934 ≠ 1924] {biblio+metier}
10629;Jostein Gaarder;acceptée;oui;Q185548;Jostein Gaarder;1952;;NO;no;biblio+metier;Q185548 {biblio+metier}
10630;Eugenio de Barros Raja Gabaglia;acceptée;oui;Q10278195;Eugênio de Barros Raja Gabaglia;1862;1919;BR;pt;;Q10278195
10631;Jeanne Gaillard;ambiguë;;;;;;;;;Q3176052 {biblio+metier} | Q47117607 | Q131730913
10632;Eduardo Galeano;acceptée;oui;Q44575;Eduardo Galeano;1940;2015;UY;es;biblio+metier;Q44575 {biblio+metier}
10633;Jairo Galindo;introuvable;;;;;;;;;
10634;Gregorio Gallego;acceptée;oui;Q55950439;Gregorio Gallego;1916;2007;ES;es;biblio+metier;Q55950439 {biblio+metier}
10635;Emily Games;introuvable;;;;;;;;;
10636;Mahatma Gandhi;acceptée;oui;Q1001;Mohandas Karamchand Gandhi;1869;1948;IN;gu;biblio+metier;Q1001 {biblio+metier} | Q16575010 [naissance 1992 ≠ 1869]
10637;Elias Garcia;acceptée;oui;Q10309321;José Elias Garcia;1830;1891;PT;;biblio+metier;Q67519001 | Q10309321 {biblio+metier}
10638;Huascar Rodríguez García;introuvable;;;;;;;;;
10639;Hugo Garcia;ambiguë;;;;;;;;;Q96748489 [né 1993, publié dès 1972] | Q18418271 [né 1981, publié dès 1972] | Q127947079 [né 2005, publié dès 1972] | Q85767652 | Q16326124 {biblio+metier} | Q42908274 [né 1989, publié dès 1972]
10640;Juan Guillermo Gómez García;acceptée;oui;Q133441239;Juan Guillermo Gómez García;1959;;;es;biblio+metier;Q133441239 {biblio+metier}
10641;Luis Lamela García;acceptée;oui;Q12392511;V. Luís Lamela García;1945;;ES;;biblio+metier;Q12392511 {biblio+metier}
10642;Juan José Garfia;à relire (un seul signal);;Q5950272;Juan José Garfia;1966;;ES;;metier;Q5950272 {metier}
10643;Zélia Gattai;acceptée;oui;Q247526;Zélia Gattai;1916;2008;BR;pt;biblio+metier;Q247526 {biblio+metier}
10644;Peter Gelderloos;acceptée;oui;Q4363838;Peter Gelderloos;1982;;US;en;biblio+metier+anarchisme;Q4363838 {biblio+metier+anarchisme}
10645;Emilio Gennari;introuvable;;;;;;;;;
10646;René E. Gertz;introuvable;;;;;;;;;
10647;Alberto Ghiraldo;acceptée;oui;Q5663077;Alberto Ghiraldo;1875;1946;AR;es;biblio+metier;Q5663077 {biblio+metier}
10648;Giancarlo Giannini;à relire (un seul signal);;Q315258;Giancarlo Giannini;1942;;IT;it;biblio;Q315258 {biblio}
10649;Moisés Gicovate;introuvable;;;;;;;;;
10650;Carlo Ginzburg;acceptée;oui;Q355251;Carlo Ginzburg;1939;2026;IT;it;biblio+metier;Q355251 {biblio+metier}
10651;Alibrando Giovannetti;ambiguë;;;;;;;;;Q109854569 {biblio} | Q137907355 {metier}
10652;Luiz Giovanni;introuvable;;;;;;;;;
10653;Julio Godio;acceptée;oui;Q3189814;Julio Godio;1939;2011;AR;es;biblio+metier;Q3189814 {biblio+metier}
10654;William Godwin;acceptée;oui;Q188569;William Godwin;1756;1836;GB;en;biblio+metier+anarchisme;Q188569 {biblio+metier+anarchisme} | Q8009959 [naissance 1803 ≠ 1756, mort 1832 ≠ 1836] {biblio+metier} | Q20707582 [naissance 1912 ≠ 1756, mort 2000 ≠ 1836] | Q22336821 [mort 1557 ≠ 1836] | Q105188277 [naissance 1957 ≠ 1756] | Q100795990 | Q125211931 [naissance 1813 ≠ 1756, mort 1883 ≠ 1836] {biblio} | Q75657568
10655;Maria Conceição Pinto de Góes;introuvable;;;;;;;;;
10656;Sonia Goldfeder;introuvable;;;;;;;;;
10657;Raymond Goldsmith;introuvable;;;;;;;;;
10658;Ângela Maria de Castro Gomes;à relire (un seul signal);;Q59693692;Angela Maria de Castro Gomes;;;BR;;metier;Q59693692 {metier}
10659;Paulo Emilio Salles Gomes;acceptée;oui;Q2064014;Paulo Emílio Sales Gomes;1916;1977;BR;pt;biblio+metier;Q2064014 {biblio+metier}
10660;Alfredo Gómez;contradiction;;;;;;;;;Q11904985 [né 1989, publié dès 1980]
10661;Francisco Pineda Gómez;introuvable;;;;;;;;;
10662;Adelto Gonçalves;acceptée;oui;Q9582642;Adelto Gonçalves;;;BR;pt;biblio+metier;Q9582642 {biblio+metier}
10663;Rodolfo González Pacheco;contradiction;;;;;;;;;Q2161241 [naissance 1883 ≠ 1881] {biblio+metier}
10664;Julio Reyelo González;introuvable;;;;;;;;;
10665;Marcos Gonzalez;contradiction;;;;;;;;;Q924825 | Q95946545 {chercheur} | Q18222047 [né 1990, publié dès 1993]
10666;Xosé Tarrio González;acceptée;oui;Q12402889;Xosé Tarrío González;1968;2005;ES;;biblio+metier;Q12402889 {biblio+metier}
10667;Juan Goytisolo;acceptée;oui;Q353762;Juan Goytisolo;1931;2017;ES;es;biblio+metier;Q353762 {biblio+metier}
10668;John Grand-Carteret;acceptée;oui;Q3181629;John Grand-Carteret;1850;1927;FR;fr;biblio+metier;Q3181629 {biblio+metier}
10669;J. Grave;introuvable;;;;;;;;;
10670;João Grave;acceptée;oui;Q5769261;João Grave;1872;1934;PT;pt;biblio+metier;Q5769261 {biblio+metier}
10671;Juan Grave;introuvable;;;;;;;;;
10672;Gilbert Green;ambiguë;;;;;;;;;Q3105734 {biblio} | Q5560531 {biblio}
10673;Waldemar de Gregori;acceptée;oui;Q6166079;Waldemar De Gregori;1935;;BR;pt;biblio+metier;Q6166079 {biblio+metier}
10674;George Grosz;acceptée;oui;Q107194;George Grosz;1893;1959;DE;de;biblio+metier;Q107194 {biblio+metier}
10675;Andrej Grubacic;contradiction;;;;;;;;;Q4756039 [naissance 1976 ≠ 1974] {biblio+metier+anarchisme}
10676;Félix Guattari;acceptée;oui;Q352465;Félix Guattari;1930;1992;FR;fr;biblio+metier;Q352465 {biblio+metier}
10677;Armand Guerra;ambiguë;;;;;;;;;Q62615811 [naissance 1933 ≠ 1886] | Q2861868 {biblio+metier} | Q95898856 {biblio}
10678;Agustín Guillamón;contradiction;;;;;;;;;Q30229466 [naissance 1950 ≠ 1952] {biblio+metier}
10679;James Guillaume;ambiguë;;;;;;;;;Q116617 {biblio+metier} | Q102260181 {biblio} | Q90425712 {chercheur}
10680;Rafael Guimaraens;ambiguë;;;;;;;;;Q110617413 {biblio+metier} | Q97337883 {biblio+metier}
10681;James Gullaume;introuvable;;;;;;;;;
10682;Pippo Gurrieri;introuvable;;;;;;;;;
10683;Salvador Gurucharri;à relire (un seul signal);;Q20968816;Salvador Gurucharri;1936;2014;ES;es;biblio;Q20968816 {biblio}
10684;José Antonio Gutiérrez Danton;introuvable;;;;;;;;;
10686;Jean-Marie Guyau;acceptée;oui;Q707490;Jean-Marie Guyau;1854;1888;FR;fr;biblio+metier;Q707490 {biblio+metier}
10689;Cristina Guzzo;introuvable;;;;;;;;;
10690;Ernest Haeckel;acceptée;oui;Q48246;Ernst Haeckel;1834;1919;DE;de;biblio+metier;Q48246 {biblio+metier}
10691;A. Suprema Mestre Ching Hai;introuvable;;;;;;;;;
10692;Marta Harnecker;acceptée;oui;Q452797;Marta Harnecker;1937;2019;CL;;biblio+metier;Q452797 {biblio+metier}
10693;Clifford Harper;acceptée;oui;Q5132962;Clifford Harper;1949;;GB;en;biblio+metier+anarchisme;Q5132962 {biblio+metier+anarchisme}
10694;Frank Harris;ambiguë;;;;;;;;;Q763507 {biblio+metier} | Q5487120 [naissance 1858 ≠ 1855, mort 1939 ≠ 1931] | Q5487126 [naissance 1907 ≠ 1855, mort 1936 ≠ 1931] | Q5487124 [naissance 1899 ≠ 1855, mort 1983 ≠ 1931] | Q18356117 [naissance 1883 ≠ 1855, mort 1961 ≠ 1931] | Q5487122 [naissance 1943 ≠ 1855, mort 2020 ≠ 1931] {biblio} | Q14950304 [naissance 1964 ≠ 1855] | Q16729665 [naissance 1948 ≠ 1855] | Q110154065 | Q112827079 {biblio+metier}
10695;Jacque Lesage de La Haye;introuvable;;;;;;;;;
10696;John Heartfield;acceptée;oui;Q168671;John Heartfield;1891;1968;DE;;biblio+metier;Q168671 {biblio+metier}
10697;Jacqueline Heinen;acceptée;oui;Q3157739;Jacqueline Heinen;1940;;FR;;biblio+metier;Q3157739 {biblio+metier}
10698;Peter Heintz;acceptée;oui;Q1748762;Peter Heintz;1920;1983;CH;;biblio+metier;Q1748762 {biblio+metier} | Q134251286 [naissance 1879 ≠ 1920, mort 1934 ≠ 1983]
10699;Benoît-P. Hepner;acceptée;oui;Q140386597;Benoît P. Hepner;;;;fr;biblio+metier;Q140386597 {biblio+metier}
10700;Henry Eric Hernández;à relire (un seul signal);;Q115380318;Henry Eric Hernandez;1971;;CU;;biblio;Q115380318 {biblio}
10701;Aventuras na História;introuvable;;;;;;;;;
10702;Antônio Hohlfeldt;acceptée;oui;Q16336728;Antônio Hohlfeldt;1948;;BR;pt;biblio+metier;Q16336728 {biblio+metier}
10703;Bob Holton;acceptée;oui;Q19877938;Robert J. Holton;1946;;;en;biblio+metier;Q19877938 {biblio+metier}
10704;F. Hombourger;introuvable;;;;;;;;;
10707;Constantino Ianni;acceptée;oui;Q56221422;Constantino Ianni;1913;1977;BR;;biblio+metier;Q56221422 {biblio+metier}
10708;Vicente Blasco Ibáñez;acceptée;oui;Q219646;Vicente Blasco Ibáñez;1867;1928;ES;es;biblio+metier;Q219646 {biblio+metier}
10709;Salvador Gurucharri y Tomás Ibáñez;introuvable;;;;;;;;;
10710;Dolores Ibarruri;acceptée;oui;Q238955;Dolores Ibárruri;1895;1989;;es;biblio+metier;Q238955 {biblio+metier}
10711;Abelardo Iglesias;introuvable;;;;;;;;;
10712;Anistia Internacional;introuvable;;;;;;;;;
10713;IVa Internacional;introuvable;;;;;;;;;
10716;Carlos Issa;introuvable;;;;;;;;;
10717;Helena Iswolsky;introuvable;;;;;;;;;
10719;Brian Jackson;ambiguë;;;;;;;;;Q55163166 {chercheur} | Q4964177 {biblio} | Q2402879 | Q18936006 {biblio+metier} | Q4964172 | Q4964166 [né 1987, publié dès 1981] | Q16091880 | Q4964173 | Q100982983 | Q4964167 {biblio}
10720;J. Hampden Jackson;introuvable;;;;;;;;;
10721;Mat Jacob;à relire (un seul signal);;Q99476641;Mat Jacob;1966;;FR;;biblio;Q99476641 {biblio}
10722;Clemência Jacquinet;introuvable;;;;;;;;;
10725;Paul Janet;acceptée;oui;Q565381;Paul Janet;1823;1899;FR;fr;biblio+metier;Q565381 {biblio+metier} | Q3371515 [naissance 1863 ≠ 1823, mort 1937 ≠ 1899] {biblio+metier} | Q6153321 [naissance 1919 ≠ 1823, mort 2004 ≠ 1899, né 1919, publié dès 1912] {biblio+metier} | Q76039412 [mort 1842 ≠ 1899]
10726;Antony Jay;acceptée;oui;Q4354177;Antony Jay;1930;2016;GB;;biblio+metier;Q4354177 {biblio+metier} | Q121078848
10727;Frank Jellinek;acceptée;oui;Q22670580;Frank Jellinek;1908;1975;US;;biblio+metier;Q22670580 {biblio+metier}
10728;Marcolino Jeremias;introuvable;;;;;;;;;
10729;Francisco García Jiménez;acceptée;oui;Q5865795;Francisco García Jiménez;1899;1983;AR;es;biblio+metier;Q5865795 {biblio+metier} | Q100754284 [naissance 1924 ≠ 1899, mort 1991 ≠ 1983]
10730;Bernardo Joffily;acceptée;oui;Q9655325;Bernardo Joffily;1950;;BR;pt;biblio+metier;Q9655325 {biblio+metier}
10731;James Joll;acceptée;oui;Q128229;James Joll;1918;1994;GB;;biblio+metier;Q128229 {biblio+metier} | Q75653604
10732;Regina Celia Mazoni Jomini;introuvable;;;;;;;;;
10733;Carlos M. Jordán;introuvable;;;;;;;;;
10734;Édouard Jourdain;acceptée;oui;Q56682515;Édouard Jourdain;1981;;FR;;biblio+metier;Q56682515 {biblio+metier}
10735;Camila Jourdan;acceptée;oui;Q108761279;Camila Jourdan;1980;;BR;;biblio+metier+anarchisme;Q108761279 {biblio+metier+anarchisme}
10736;Paulo José da Costa Jr.;introuvable;;;;;;;;;
10737;Armando Boito Jr.;introuvable;;;;;;;;;
10738;Paulo Ghiraldelli Jr.;acceptée;oui;Q85876490;Paulo Ghiraldelli;1957;;BR;;biblio+metier;Q85876490 {biblio+metier}
10740;Pedro Fontan Jubero;introuvable;;;;;;;;;
10741;Jacques Julliard;acceptée;oui;Q3159199;Jacques Julliard;1933;2023;FR;fr;biblio+metier;Q3159199 {biblio+metier}
10742;José Álvarez Junco;acceptée;oui;Q9014964;José Álvarez Junco;1942;;ES;es;biblio+metier;Q9014964 {biblio+metier}
10743;Hilário Franco Júnior;acceptée;oui;Q139098638;Hilário Franco Júnior;1948;;;;biblio+metier;Q20049730 | Q139098638 {biblio+metier}
10744;Luiz Augusto Costacurta Junqueira;introuvable;;;;;;;;;
10745;Guerra Junqueiro;acceptée;oui;Q336918;Guerra Junqueiro;1850;1923;PT;pt;biblio+metier;Q336918 {biblio+metier}
10746;Michel Justamand;introuvable;;;;;;;;;
10747;Franz Kafka;acceptée;oui;Q905;Franz Kafka;1883;1924;CZ;de;biblio+metier;Q905 {biblio+metier} | Q111962205 [naissance 1894 ≠ 1883]
10748;William Young and David E. KAISER;introuvable;;;;;;;;;
10749;Temma Kaplan;acceptée;oui;Q29052250;Temma Kaplan;1942;;US;;biblio+metier;Q29052250 {biblio+metier}
10750;Dainis Karepovs;contradiction;;;;;;;;;Q112384790 [naissance 1957 ≠ 1960] {biblio+metier}
10752;Clóvis Nicanor Kassick;introuvable;;;;;;;;;
10753;Paul Kenny;ambiguë;;;;;;;;;Q7151758 {biblio+metier} | Q28043419 | Q99592140 | Q110232767 {biblio} | Q106231815 | Q98970822
10754;Jefferson Wille Kielwagen;introuvable;;;;;;;;;
10755;Arthur Koestler;acceptée;oui;Q78494;Arthur Koestler;1905;1983;HU;;biblio+metier;Q78494 {biblio+metier}
10756;Caterina Koltai;introuvable;;;;;;;;;
10757;Boris Koval;acceptée;oui;Q112393995;Boris Koval;1930;2016;RU;;biblio+metier;Q112393995 {biblio+metier}
10759;General Walter G. Krivitski;introuvable;;;;;;;;;
10760;Acacia Kuenzer;introuvable;;;;;;;;;
10761;M. Kun;à relire (un seul signal);;Q60041821;Mária Kun;1949;;HU;;biblio;Q60041821 {biblio}
10762;Graziela Kunsch;acceptée;oui;Q28769457;Graziela Kunsch;1979;;BR;pt;biblio+metier;Q28769457 {biblio+metier}
10763;Amir Labaki;ambiguë;;;;;;;;;Q16489812 {metier} | Q138927072 {biblio}
