id;nom;decision;ecrite_le_26_09;qid;wikidata_libelle;naissance;mort;pays;langue;signaux;candidats_et_motifs
10150;Murray Rothbard;acceptée;oui;Q297079;Murray Rothbard;1926;1995;US;en;biblio+metier;Q297079 {biblio+metier}
10151;René Viénet;acceptée;oui;Q2144893;René Viénet;1944;;FR;;biblio+metier;Q2144893 {biblio+metier}
10152;Pietro Ferrua;introuvable;;;;;;;;;
10153;Josefa Martín Luengo;acceptée;oui;Q468757;Josefa Martín Luengo;1944;2009;ES;;biblio+metier;Q468757 {biblio+metier}
10154;Manuel Joaquim de Sousa;contradiction;;;;;;;;;Q18473906 [naissance 1883 ≠ 1893, mort 1944 ≠ 1947] {biblio+metier}
10155;Bio Panclasta;introuvable;;;;;;;;;
10156;Stewart Home;acceptée;oui;Q1422563;Stewart Home;1962;;GB;;biblio+metier;Q1422563 {biblio+metier}
10157;Paulo Freire;acceptée;oui;Q164797;Paulo Freire;1921;1997;BR;pt;biblio+metier;Q164797 {biblio+metier} | Q16212612 [naissance 1970 ≠ 1921, né 1970, publié dès 1974] {biblio} | Q108877271 {chercheur} | Q108877159 {chercheur}
10158;Rubem Alves;acceptée;oui;Q189042;Rubem Alves;1933;2014;BR;pt;biblio+metier;Q189042 {biblio+metier}
10159;Everett Reimer;acceptée;oui;Q3061467;Everett Reimer;1910;1998;US;;biblio+metier;Q3061467 {biblio+metier}
10160;Florestan Fernandes;acceptée;oui;Q2387448;Florestan Fernandes;1920;1995;BR;pt;biblio+metier;Q2387448 {biblio+metier}
10161;Clóvis Moura;acceptée;oui;Q16939940;Clóvis Moura;1925;2003;BR;pt;biblio+metier;Q16939940 {biblio+metier}
10162;Edgard Carone;acceptée;oui;Q10270185;Edgard Carone;1923;2003;BR;;biblio+metier;Q10270185 {biblio+metier}
10163;Roberto Freire;acceptée;oui;Q366250;Roberto Freire;1927;2008;BR;pt;biblio+metier;Q7351701 [naissance 1942 ≠ 1927] {biblio} | Q366250 {biblio+metier}
10164;Florentino de Carvalho;contradiction;;;;;;;;;Q10282832 [naissance 1889 ≠ 1871] {metier} | Q137118217 [naissance 1883 ≠ 1871] {biblio}
10165;Fábio Luz;déjà liée;;Q94538962;Fábio Luz;1864;1938;BR;;biblio+metier;Q94538962 {biblio+metier}
10166;Martha Ackelsberg;acceptée;oui;Q89052941;Martha Ackelsberg;1946;;US;;biblio+metier;Q89052941 {biblio+metier}
10167;Lucien Van Der Walt;acceptée;oui;Q16214249;Lucien van der Walt;1972;;ZA;en;biblio+metier;Q16214249 {biblio+metier}
10168;Jean Bancal;contradiction;;;;;;;;;Q57201327 [naissance 1905 ≠ 1920] | Q56064908 [naissance 1926 ≠ 1920, mort 2008 ≠ 2005] {biblio}
10169;Christian Ferrer;acceptée;oui;Q5767430;Christian Ferrer;1960;;AR;;biblio+metier;Q5767430 {biblio+metier}
10170;Edgar Wind;acceptée;oui;Q72294;Edgar Wind;1900;1971;DE;;biblio+metier;Q72294 {biblio+metier}
10171;Claudio Lavazza;introuvable;;;;;;;;;
10173;Nildo Avelino;introuvable;;;;;;;;;
10174;Joseph Staline;acceptée;oui;Q855;Joseph Staline;1878;1953;GE;ka;biblio+metier;Q855 {biblio+metier}
10175;CrimethInc.;introuvable;;;;;;;;;
10176;Gabriel Jackson;contradiction;;;;;;;;;Q3751007 [mort 2019 ≠ 2005] {biblio+metier} | Q17305946 [naissance 1962 ≠ 1921] {biblio} | Q3966988 [naissance 1963 ≠ 1921] {biblio} | Q16233874 [naissance 1991 ≠ 1921, né 1991, publié dès 1978] | Q94650028 [naissance 1765 ≠ 1921, mort 1850 ≠ 2005] {biblio}
10177;Fernando C. Prestes Motta;introuvable;;;;;;;;;
10178;Renata Pallottini;acceptée;oui;Q101242721;Renata Pallottini;1931;2021;BR;pt;biblio+metier;Q101242721 {biblio+metier}
10179;María Galindo;acceptée;oui;Q3296444;María Galindo;1964;;BO;;biblio+metier;Q3296444 {biblio+metier} | Q139574191 [naissance 2008 ≠ 1964] | Q51064286 {chercheur}
10180;Rudolf de Jong;acceptée;oui;Q50665569;Rudolf de Jong;1932;;NL;nl;biblio+metier;Q50665569 {biblio+metier} | Q113680315 [naissance 1958 ≠ 1932, mort 2024 ≠ 2019] {biblio}
10181;Grégory Chambat;acceptée;oui;Q45491429;Grégory Chambat;1974;;;fr;biblio;Q45491429 {biblio}
10182;Sheldon Leslie Maram;introuvable;;;;;;;;;
10183;Antonina Rodrigo;acceptée;oui;Q8201111;Antonina Rodrigo;1935;;ES;es;biblio+metier;Q8201111 {biblio+metier}
10184;Jean-Paul Sartre;acceptée;oui;Q9364;Jean-Paul Sartre;1905;1980;FR;fr;biblio+metier;Q9364 {biblio+metier} | Q135195927
10185;Aldous Huxley;acceptée;oui;Q81447;Aldous Huxley;1894;1963;GB;en;biblio+metier;Q81447 {biblio+metier}
10186;Howard Zinn;acceptée;oui;Q119546;Howard Zinn;1922;2010;US;en;biblio+metier;Q119546 {biblio+metier}
10187;Bertrand Russell;acceptée;oui;Q33760;Bertrand Russell;1872;1970;GB;en;biblio+metier;Q33760 {biblio+metier}
10188;Wilhelm Reich;ambiguë;;;;;;;;;Q84412 {biblio+metier} | Q118782312 [naissance 1881 ≠ 1897, mort 1951 ≠ 1957] {biblio} | Q105655190 [mort 1945 ≠ 1957] | Q94909393 [naissance 1852 ≠ 1897, mort 1929 ≠ 1957] {biblio} | Q41859843 [mort 1980 ≠ 1957] {biblio+metier} | Q116189786 [naissance 1870 ≠ 1897, mort 1923 ≠ 1957] | Q95764562 {biblio+metier} | Q94820779 [naissance 1855 ≠ 1897] {biblio} | Q18035577 [naissance 1852 ≠ 1897, mort 1927 ≠ 1957] {biblio}
10189;Raoul Vaneigem;acceptée;oui;Q537924;Raoul Vaneigem;1934;2026;BE;fr;biblio+metier;Q537924 {biblio+metier}
10190;Georges Sorel;acceptée;oui;Q313666;Georges Sorel;1847;1922;FR;fr;biblio+metier;Q313666 {biblio+metier} | Q3103497 [naissance 1948 ≠ 1847]
10191;Carlos Drummond De Andrade;acceptée;oui;Q379745;Carlos Drummond de Andrade;1902;1987;BR;pt;biblio+metier;Q379745 {biblio+metier}
10192;Máximo Gorki;acceptée;oui;Q12706;Maxime Gorki;1868;1936;RU;ru;biblio+metier;Q12706 {biblio+metier}
10193;Antonin Artaud;acceptée;oui;Q187166;Antonin Artaud;1896;1948;FR;fr;biblio+metier;Q187166 {biblio+metier}
